file_no,relative_path,top_folder,sub_folder,country,state,district,year,quarter,row_count_extracted,status,error
69,aggregated\insurance\country\india\state\arunachal-pradesh\2023\1.json,aggregated,insurance,India,Arunachal Pradesh,,2023,1,1,success,
70,aggregated\insurance\country\india\state\arunachal-pradesh\2023\2.json,aggregated,insurance,India,Arunachal Pradesh,,2023,2,1,success,
71,aggregated\insurance\country\india\state\arunachal-pradesh\2023\3.json,aggregated,insurance,India,Arunachal Pradesh,,2023,3,1,success,
72,aggregated\insurance\country\india\state\arunachal-pradesh\2023\4.json,aggregated,insurance,India,Arunachal Pradesh,,2023,4,1,success,
73,aggregated\insurance\country\india\state\arunachal-pradesh\2024\1.json,aggregated,insurance,India,Arunachal Pradesh,,2024,1,1,success,
74,aggregated\insurance\country\india\state\arunachal-pradesh\2024\2.json,aggregated,insurance,India,Arunachal Pradesh,,2024,2,1,success,
75,aggregated\insurance\country\india\state\arunachal-pradesh\2024\3.json,aggregated,insurance,India,Arunachal Pradesh,,2024,3,1,success,
76,aggregated\insurance\country\india\state\arunachal-pradesh\2024\4.json,aggregated,insurance,India,Arunachal Pradesh,,2024,4,1,success,
77,aggregated\insurance\country\india\state\assam\2020\2.json,aggregated,insurance,India,Assam,,2020,2,1,success,
78,aggregated\insurance\country\india\state\assam\2020\3.json,aggregated,insurance,India,Assam,,2020,3,1,success,
79,aggregated\insurance\country\india\state\assam\2020\4.json,aggregated,insurance,India,Assam,,2020,4,1,success,
80,aggregated\insurance\country\india\state\assam\2021\1.json,aggregated,insurance,India,Assam,,2021,1,1,success,
81,aggregated\insurance\country\india\state\assam\2021\2.json,aggregated,insurance,India,Assam,,2021,2,1,success,
82,aggregated\insurance\country\india\state\assam\2021\3.json,aggregated,insurance,India,Assam,,2021,3,1,success,
83,aggregated\insurance\country\india\state\assam\2021\4.json,aggregated,insurance,India,Assam,,2021,4,1,success,
84,aggregated\insurance\country\india\state\assam\2022\1.json,aggregated,insurance,India,Assam,,2022,1,1,success,
85,aggregated\insurance\country\india\state\assam\2022\2.json,aggregated,insurance,India,Assam,,2022,2,1,success,
86,aggregated\insurance\country\india\state\assam\2022\3.json,aggregated,insurance,India,Assam,,2022,3,1,success,
87,aggregated\insurance\country\india\state\assam\2022\4.json,aggregated,insurance,India,Assam,,2022,4,1,success,
88,aggregated\insurance\country\india\state\assam\2023\1.json,aggregated,insurance,India,Assam,,2023,1,1,success,
89,aggregated\insurance\country\india\state\assam\2023\2.json,aggregated,insurance,India,Assam,,2023,2,1,success,
90,aggregated\insurance\country\india\state\assam\2023\3.json,aggregated,insurance,India,Assam,,2023,3,1,success,
91,aggregated\insurance\country\india\state\assam\2023\4.json,aggregated,insurance,India,Assam,,2023,4,1,success,
92,aggregated\insurance\country\india\state\assam\2024\1.json,aggregated,insurance,India,Assam,,2024,1,1,success,
93,aggregated\insurance\country\india\state\assam\2024\2.json,aggregated,insurance,India,Assam,,2024,2,1,success,
94,aggregated\insurance\country\india\state\assam\2024\3.json,aggregated,insurance,India,Assam,,2024,3,1,success,
95,aggregated\insurance\country\india\state\assam\2024\4.json,aggregated,insurance,India,Assam,,2024,4,1,success,
96,aggregated\insurance\country\india\state\bihar\2020\2.json,aggregated,insurance,India,Bihar,,2020,2,1,success,
97,aggregated\insurance\country\india\state\bihar\2020\3.json,aggregated,insurance,India,Bihar,,2020,3,1,success,
98,aggregated\insurance\country\india\state\bihar\2020\4.json,aggregated,insurance,India,Bihar,,2020,4,1,success,
99,aggregated\insurance\country\india\state\bihar\2021\1.json,aggregated,insurance,India,Bihar,,2021,1,1,success,
100,aggregated\insurance\country\india\state\bihar\2021\2.json,aggregated,insurance,India,Bihar,,2021,2,1,success,
101,aggregated\insurance\country\india\state\bihar\2021\3.json,aggregated,insurance,India,Bihar,,2021,3,1,success,
102,aggregated\insurance\country\india\state\bihar\2021\4.json,aggregated,insurance,India,Bihar,,2021,4,1,success,
103,aggregated\insurance\country\india\state\bihar\2022\1.json,aggregated,insurance,India,Bihar,,2022,1,1,success,
104,aggregated\insurance\country\india\state\bihar\2022\2.json,aggregated,insurance,India,Bihar,,2022,2,1,success,
105,aggregated\insurance\country\india\state\bihar\2022\3.json,aggregated,insurance,India,Bihar,,2022,3,1,success,
106,aggregated\insurance\country\india\state\bihar\2022\4.json,aggregated,insurance,India,Bihar,,2022,4,1,success,
107,aggregated\insurance\country\india\state\bihar\2023\1.json,aggregated,insurance,India,Bihar,,2023,1,1,success,
108,aggregated\insurance\country\india\state\bihar\2023\2.json,aggregated,insurance,India,Bihar,,2023,2,1,success,
109,aggregated\insurance\country\india\state\bihar\2023\3.json,aggregated,insurance,India,Bihar,,2023,3,1,success,
110,aggregated\insurance\country\india\state\bihar\2023\4.json,aggregated,insurance,India,Bihar,,2023,4,1,success,
111,aggregated\insurance\country\india\state\bihar\2024\1.json,aggregated,insurance,India,Bihar,,2024,1,1,success,
112,aggregated\insurance\country\india\state\bihar\2024\2.json,aggregated,insurance,India,Bihar,,2024,2,1,success,
113,aggregated\insurance\country\india\state\bihar\2024\3.json,aggregated,insurance,India,Bihar,,2024,3,1,success,
114,aggregated\insurance\country\india\state\bihar\2024\4.json,aggregated,insurance,India,Bihar,,2024,4,1,success,
115,aggregated\insurance\country\india\state\chandigarh\2020\2.json,aggregated,insurance,India,Chandigarh,,2020,2,1,success,
116,aggregated\insurance\country\india\state\chandigarh\2020\3.json,aggregated,insurance,India,Chandigarh,,2020,3,1,success,
117,aggregated\insurance\country\india\state\chandigarh\2020\4.json,aggregated,insurance,India,Chandigarh,,2020,4,1,success,
118,aggregated\insurance\country\india\state\chandigarh\2021\1.json,aggregated,insurance,India,Chandigarh,,2021,1,1,success,
119,aggregated\insurance\country\india\state\chandigarh\2021\2.json,aggregated,insurance,India,Chandigarh,,2021,2,1,success,
120,aggregated\insurance\country\india\state\chandigarh\2021\3.json,aggregated,insurance,India,Chandigarh,,2021,3,1,success,
121,aggregated\insurance\country\india\state\chandigarh\2021\4.json,aggregated,insurance,India,Chandigarh,,2021,4,1,success,
122,aggregated\insurance\country\india\state\chandigarh\2022\1.json,aggregated,insurance,India,Chandigarh,,2022,1,1,success,
123,aggregated\insurance\country\india\state\chandigarh\2022\2.json,aggregated,insurance,India,Chandigarh,,2022,2,1,success,
124,aggregated\insurance\country\india\state\chandigarh\2022\3.json,aggregated,insurance,India,Chandigarh,,2022,3,1,success,
125,aggregated\insurance\country\india\state\chandigarh\2022\4.json,aggregated,insurance,India,Chandigarh,,2022,4,1,success,
126,aggregated\insurance\country\india\state\chandigarh\2023\1.json,aggregated,insurance,India,Chandigarh,,2023,1,1,success,
127,aggregated\insurance\country\india\state\chandigarh\2023\2.json,aggregated,insurance,India,Chandigarh,,2023,2,1,success,
128,aggregated\insurance\country\india\state\chandigarh\2023\3.json,aggregated,insurance,India,Chandigarh,,2023,3,1,success,
129,aggregated\insurance\country\india\state\chandigarh\2023\4.json,aggregated,insurance,India,Chandigarh,,2023,4,1,success,
130,aggregated\insurance\country\india\state\chandigarh\2024\1.json,aggregated,insurance,India,Chandigarh,,2024,1,1,success,
131,aggregated\insurance\country\india\state\chandigarh\2024\2.json,aggregated,insurance,India,Chandigarh,,2024,2,1,success,
132,aggregated\insurance\country\india\state\chandigarh\2024\3.json,aggregated,insurance,India,Chandigarh,,2024,3,1,success,
133,aggregated\insurance\country\india\state\chandigarh\2024\4.json,aggregated,insurance,India,Chandigarh,,2024,4,1,success,
134,aggregated\insurance\country\india\state\chhattisgarh\2020\2.json,aggregated,insurance,India,Chhattisgarh,,2020,2,1,success,
135,aggregated\insurance\country\india\state\chhattisgarh\2020\3.json,aggregated,insurance,India,Chhattisgarh,,2020,3,1,success,
136,aggregated\insurance\country\india\state\chhattisgarh\2020\4.json,aggregated,insurance,India,Chhattisgarh,,2020,4,1,success,
137,aggregated\insurance\country\india\state\chhattisgarh\2021\1.json,aggregated,insurance,India,Chhattisgarh,,2021,1,1,success,
138,aggregated\insurance\country\india\state\chhattisgarh\2021\2.json,aggregated,insurance,India,Chhattisgarh,,2021,2,1,success,
139,aggregated\insurance\country\india\state\chhattisgarh\2021\3.json,aggregated,insurance,India,Chhattisgarh,,2021,3,1,success,
140,aggregated\insurance\country\india\state\chhattisgarh\2021\4.json,aggregated,insurance,India,Chhattisgarh,,2021,4,1,success,
141,aggregated\insurance\country\india\state\chhattisgarh\2022\1.json,aggregated,insurance,India,Chhattisgarh,,2022,1,1,success,
142,aggregated\insurance\country\india\state\chhattisgarh\2022\2.json,aggregated,insurance,India,Chhattisgarh,,2022,2,1,success,
143,aggregated\insurance\country\india\state\chhattisgarh\2022\3.json,aggregated,insurance,India,Chhattisgarh,,2022,3,1,success,
144,aggregated\insurance\country\india\state\chhattisgarh\2022\4.json,aggregated,insurance,India,Chhattisgarh,,2022,4,1,success,
145,aggregated\insurance\country\india\state\chhattisgarh\2023\1.json,aggregated,insurance,India,Chhattisgarh,,2023,1,1,success,
146,aggregated\insurance\country\india\state\chhattisgarh\2023\2.json,aggregated,insurance,India,Chhattisgarh,,2023,2,1,success,
147,aggregated\insurance\country\india\state\chhattisgarh\2023\3.json,aggregated,insurance,India,Chhattisgarh,,2023,3,1,success,
148,aggregated\insurance\country\india\state\chhattisgarh\2023\4.json,aggregated,insurance,India,Chhattisgarh,,2023,4,1,success,
149,aggregated\insurance\country\india\state\chhattisgarh\2024\1.json,aggregated,insurance,India,Chhattisgarh,,2024,1,1,success,
150,aggregated\insurance\country\india\state\chhattisgarh\2024\2.json,aggregated,insurance,India,Chhattisgarh,,2024,2,1,success,
